threshold,tp,fp,tn,fn,cost
0.15467622351682705,63,1090,453,2,338000
0.15481154380003803,63,1089,454,2,337700
0.1553591161730182,63,1088,455,2,337400
0.15578846161673812,63,1087,456,2,337100
0.15605675573249728,63,1086,457,2,336800
0.15645596776017076,63,1085,458,2,336500
0.15656893697105445,63,1084,459,2,336200
0.15670541530767534,63,1083,460,2,335900
0.15682184937346752,63,1082,461,2,335600
0.15682942976055478,63,1081,462,2,335300
0.15690161540035155,63,1080,463,2,335000
0.1575433166873355,63,1079,464,2,334700
0.1577329563292181,63,1078,465,2,334400
0.1588287975550322,63,1077,466,2,334100
0.1588312804786641,63,1076,467,2,333800
0.1588557273114992,63,1075,468,2,333500
0.1594247069619916,63,1074,469,2,333200
0.15971200469781677,63,1073,470,2,332900
0.15972395125384314,63,1072,471,2,332600
0.15988989689578903,63,1071,472,2,332300
0.16010871878456726,63,1070,473,2,332000
0.16019024007889598,63,1069,474,2,331700
0.1603226238815748,63,1068,475,2,331400
0.16037574812530175,63,1067,476,2,331100
0.16051670634631,63,1066,477,2,330800
0.16122824854304185,63,1065,478,2,330500
0.1613888260155522,63,1064,479,2,330200
0.16147624034764174,63,1063,480,2,329900
0.16157002215040736,63,1062,481,2,329600
0.1617883765002619,63,1061,482,2,329300
0.16181907288540048,63,1060,483,2,329000
0.16182387045535154,63,1059,484,2,328700
0.1619056378088924,63,1058,485,2,328400
0.16197104153027936,63,1057,486,2,328100
0.16198375328740303,63,1056,487,2,327800
0.16253414703397193,63,1055,488,2,327500
0.1626967396301248,63,1054,489,2,327200
0.1630305785362943,63,1053,490,2,326900
0.16365726247016843,63,1052,491,2,326600
0.16442236392358542,63,1051,492,2,326300
0.1649222341446359,63,1050,493,2,326000
0.16518024298099246,63,1049,494,2,325700
0.16617647127428414,63,1048,495,2,325400
0.16629644668413412,63,1047,496,2,325100
0.16652344524902285,63,1046,497,2,324800
0.1667033355685652,63,1045,498,2,324500
0.1667371744162782,63,1044,499,2,324200
